site_no,site_name,street_address,city_state_zip,county,media,violation_date,violation,status,resolved_date,document,full_address,latitude,longitude,id
23220,City of Baltimore DPW - Northwest Transfer Station,5030 Reisterstown Rd,"Baltimore, MD, 21215",Baltimore City,SWP-Refuse Disposal,2023/05/31,Waste and leachate present around clogged drains and nonoperational sump pump. See open site complaint,"Ongoing, Referred to Enforcement",,,"5030 Reisterstown Rd, Baltimore, MD, 21215",39.3413726,-76.6799983,440
186252,Tangunyi Tires LLC,4420 Crain Highway,"White Plains, MD, 20695",Charles,SWP-Scrap Tire,2025/06/10,No license,Returned to Compliance,2025/09/08,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3348619,"4420 Crain Highway, White Plains, MD, 20695",38.5911052,-76.9417734,441
2143,Gamse Lithographing Company,7413 Pulaski Hwy,"Rosedale, MD, 21237-2529",Baltimore,SWP-Hazardous Waste,2022/10/12,"Area determined to be eligible for satellite accumulation provisions is not ""at or near the point of generation"" and/or not ""under the control of the operator"" [COMAR 26.13.03.05E(3)]\line\line",Returned to Compliance,2022/12/16,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2955474,"7413 Pulaski Hwy, Rosedale, MD, 21237-2529",39.3113447,-76.5262847,442
19538,Dorchester County DPW - Beulah Municipal Landfill,6815 E New Market Ellwood Rd,"Hurlock, MD, 21643",Dorchester,SWP-Refuse Disposal,2024/01/02,Uncontrolled seeps,"Ongoing, Referred to Enforcement",,,"6815 E New Market Ellwood Rd, Hurlock, MD, 21643",,,443
4906,Havre De Grace Military Reservation,301 Old Bay Ln,"Havre De Grace, MD, 21078",Harford,SWP-Hazardous Waste,2025/06/10,"Contingency plan has not been amended as required ( failure of plan, changes to facility, changes to personnel or equipment) [COMAR 26.13.05.04]\line\line","Ongoing, Referred to Enforcement",2025/05/16,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3348362,"301 Old Bay Ln, Havre De Grace, MD, 21078",39.5349206,-76.1078089,444
1790,FORT DETRICK USAG AREA B,"INTERSECTION OF SHOOKSTOWN RD, AND MONTEVUE LANE","Fort Detrick, MD, 21702-5000",Frederick,SWP-Hazardous Waste,2024/09/10,There is no adequate containment system in place [COMAR 26.13.05.09H]\line\line,Returned to Compliance,2024/09/05,,"INTERSECTION OF SHOOKSTOWN RD, AND MONTEVUE LANE, Fort Detrick, MD, 21702-5000",,,445
20996,"ACM Technologies, Inc.",344 Granary Rd,"Forest Hill, MD, 21050",Harford,SWP-Hazardous Waste,2021/07/19,Generator has not maintained records of the type and amount of introductory and continuing training as required [COMAR 26.13.05.02G(4)(c)]\line\line,Returned to Compliance,2021/07/17,,"344 Granary Rd, Forest Hill, MD, 21050",,,446
3412,World Recycling Company,5600 Columbia Park Rd,"Cheverly, MD, 20785",Prince George's,SWP-Refuse Disposal,2023/09/26,"Scattered solid waste pieces/small piles, consistent with past allowed activities/operations, remain at the property. Referred to County and Municipality. Site is no longer operating as a “System of refuse disposal for public use"".","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3091596,"5600 Columbia Park Rd, Cheverly, MD, 20785",38.9165437,-76.9110314,447
1774,"Smithsonian Institute, Museum Support Center (MSC)",4210 Silver Hill Rd,"Suitland, MD, 20746",Prince George's,SWP-Hazardous Waste,2022/07/15,Satellite accumulation exceed maximum quantity limits (55 gallons or 1 quart acute) CHS [COMAR 26.13.03.05E(3)]\line\line,Returned to Compliance,2022/07/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2930441,"4210 Silver Hill Rd, Suitland, MD, 20746",38.842099,-76.9359633,448
19953,Mountainview Municipal Landfill,"13300 New Georges Creek Rd, SW","Frostburg, MD, 21532",Allegany,SWP-Refuse Disposal,2023/06/22,Daily or periodic cover is not an approved ADCM,Returned to Compliance,2023/08/24,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3030858,"13300 New Georges Creek Rd, SW, Frostburg, MD, 21532",,,449
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Rd,"Westover, MD, 21871",Somerset,SWP-Refuse Disposal,2022/10/31,"Daily or periodic cover is not at least 6 inches thick, if earth is used, or",Returned to Compliance,2022/11/21,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2956518,"8716 James Ring Rd, Westover, MD, 21871",,,450
92360,"Cahall Construction, LLC",24482 pinetown Rd,"Preston, MD, 21655",Caroline,SWP-Natural Wood Waste,2023/01/22,Wood waste is not processed and removed within time limit imposed by permit,Returned to Compliance,2023/10/20,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2980273,"24482 pinetown Rd, Preston, MD, 21655",,,451
11157,ESTES-DGRM-Baltimore Terminal (BAL) #29,5101 Washington Blvd,"Halethorpe, MD, 21227",Baltimore,SWP-Hazardous Waste,2024/07/17,The generator does not maintain an inspection log or summary as required [COMAR 26.13.03.05E(1)(k)]\line\line,Returned to Compliance,2025/07/17,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3350447,"5101 Washington Blvd, Halethorpe, MD, 21227",39.2214539,-76.6987071,452
114006,"A & K Services, LLC",6707 Eads St,"Seat Pleasant, MD, 20743",Prince George's,SWP-Refuse Disposal,2021/09/02,"The property is not permitted to process solid waste.
Solid waste may not be accepted on the property nor
sorted or processed in any way without first obtaining
approval from MDE.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2810744,"6707 Eads St, Seat Pleasant, MD, 20743",38.8926779,-76.9061468,453
161589,Reyes-Gutierrez Property,6964 Ridge Rd,"Hanover, MD, 21076",Anne Arundel,SWP-Refuse Disposal,2021/10/15,SW Open Dump,Returned to Compliance,2021/10/21,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2823142,"6964 Ridge Rd, Hanover, MD, 21076",,,454
5973,Dreyer's Grand Ice Cream,9090 Whiskey Bottom Rd,"Laurel, MD, 20723",Howard,SWP-Hazardous Waste,2025/10/21,Universal waste on-site longer than one year,Returned to Compliance,2025/10/10,,"9090 Whiskey Bottom Rd, Laurel, MD, 20723",39.1153388,-76.8277991,455
86248,"Easton Tire Company, Inc",9561 Cordova Rd,"Easton, MD, 21601",Talbot,SWP-Scrap Tire,2023/04/17,Above licensed scrap tire limits.,"Ongoing, Referred to Enforcement",,,"9561 Cordova Rd, Easton, MD, 21601",38.8120229,-76.0578625,456
7713,Independent Can Company,1300 Brass Mill Rd,"Belcamp, MD, 21017-0370",Harford,SWP-Hazardous Waste,2022/09/06,Accumulation time began is not clearly marked and visible on containers [COMAR 26.13.03.05E(1)(e)]\line\line,Returned to Compliance,2022/07/28,,"1300 Brass Mill Rd, Belcamp, MD, 21017-0370",,,457
173170,Judy Proctor Property,18510 Aquasco Rd,"Brandywine, MD, 20613",Prince George's,SWP-Scrap Tire,2021/10/15,"Scattered solid waste debris and piles constitutes
open dumping. A person may not cause, suffer,
allow, or permit open dumping on his property by
COMAR 26.04.07.03B(4).","Ongoing, Referred to Enforcement",,,"18510 Aquasco Rd, Brandywine, MD, 20613",,,458
158719,CVS #10528,7650 Port Capital Dr,"Jessup, MD, 20794",Howard,SWP-Hazardous Waste,2025/08/25,Biennial report not submitted by applicable deadline [COMAR 26.13.03.06B(1)(b)]\line\line,Returned to Compliance,2025/08/25,,"7650 Port Capital Dr, Jessup, MD, 20794",39.1742483,-76.777859,459
29763,Newland Park Municipal Landfill,6948 Brick Kiln Rd,"Salisbury, MD, 21801",Wicomico,SWP-Refuse Disposal,2022/10/11,Slopes and other areas are not stabilized adequately,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2955423,"6948 Brick Kiln Rd, Salisbury, MD, 21801",,,460
168668,ACS Properties LLC,3304 - 3408 Hawkins Point Rd (7 parcels - map 25 grid 00 parcel 00),"Curtis Bay, MD, 21226",Baltimore City,SWP-Scrap Tire,2022/09/06,Scrap Tire Open Dump,Returned to Compliance,2024/05/14,,"3304 - 3408 Hawkins Point Rd (7 parcels - map 25 grid 00 parcel 00), Curtis Bay, MD, 21226",,,461
185769,Clemons Tire Dump,2704 Hamilton Avenue,"Baltimore, MD, 21214",Baltimore City,SWP-Scrap Tire,2025/04/15,~250 scrap tires,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3325021,"2704 Hamilton Avenue, Baltimore, MD, 21214",39.3548993,-76.5640717,462
168262,Pennsfield Inc.,30961 Kingston Rd,"Easton, MD, 21601",Talbot,SWP-Scrap Tire,2025/06/06,ST Open Dump,"Ongoing, Referred to Enforcement",,,"30961 Kingston Rd, Easton, MD, 21601",,,463
74222,Gateway Subaru,30275 Winner Blvd,"Delmar, MD, 21875",Wicomico,SWP-Scrap Tire,2025/07/17,Scrap tire license expired in 2020.,Returned to Compliance,2025/09/23,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3350532,"30275 Winner Blvd, Delmar, MD, 21875",38.4294662,-75.5628116,464
173879,RT Autoworks LLC,1708 R Harford Rd,"Fallston, MD, 21047",,SWP-Hazardous Waste,2022/08/30,No Scrap Tire License,Returned to Compliance,2023/05/11,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2942878,"1708 R Harford Rd, Fallston, MD, 21047",,,465
19538,Dorchester County DPW - Beulah Municipal Landfill,6815 E New Market Ellwood Rd,"Hurlock, MD, 21643",Dorchester,SWP-Refuse Disposal,2022/04/13,"litter, leachate, sediment erosion",Returned to Compliance,2022/12/02,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2905239,"6815 E New Market Ellwood Rd, Hurlock, MD, 21643",,,466
151191,World Recycling Company,2740 Wilmarco Avenue,"Baltimore, MD, 21223",Baltimore City,SWP-Refuse Disposal,2022/07/24,Fuel spills are not cleaned up immediately,Returned to Compliance,2025/06/23,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2940960,"2740 Wilmarco Avenue, Baltimore, MD, 21223",39.2732517,-76.6592961,467
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Rd,"Westover, MD, 21871",Somerset,SWP-Refuse Disposal,2023/04/20,"Leachate is not collected, stored, treated, and disposed of in accordance with approved plans",Returned to Compliance,2023/07/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3006830,"8716 James Ring Rd, Westover, MD, 21871",,,468
19538,Dorchester County DPW - Beulah Municipal Landfill,6815 E New Market Ellwood Rd,"Hurlock, MD, 21643",Dorchester,SWP-Refuse Disposal,2022/04/13,Seeps on outer slopes of LF,Returned to Compliance,2022/12/02,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2905239,"6815 E New Market Ellwood Rd, Hurlock, MD, 21643",,,469
22198,Hawkins Point Plant (HPP) Industrial Waste Landfill,3901 Fort Armistead Rd,"Baltimore, MD, 21226",Baltimore City,SWP-Refuse Disposal,2023/10/05,Exposed waste present on slopes and several areas throughout the active burial area. Site Complaint SC-O-24-SW-025 to be issued for exposed waste and inadequate cover,Returned to Compliance,2023/12/13,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3068433,"3901 Fort Armistead Rd, Baltimore, MD, 21226",39.2070095,-76.5433425,470
185523,Bonilla Cruz Portillo Property,15407 Brandywine Rd,"Brandywine, MD, 20613-3209",Prince George's,SWP-Scrap Tire,2025/04/09,approximately 200 scrap tires on site,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3324353,"15407 Brandywine Rd, Brandywine, MD, 20613-3209",38.6774739,-76.8100035,471
10414,Eastern Sanitary Landfill Solid Waste Management Facility,6257 Days Cove Rd,"White Marsh, MD, 21162",Baltimore,SWP-Hazardous Waste,2022/05/10,Unlabeled universal waste,Returned to Compliance,2022/04/29,,"6257 Days Cove Rd, White Marsh, MD, 21162",39.3933883,-76.3879528,472
186769,Dundalk Used & New Tires,7888 Dundalk Avenue,"Dundalk, MD, 21222",Baltimore,SWP-Scrap Tire,2025/08/13,Unlicensed,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3351965,"7888 Dundalk Avenue, Dundalk, MD, 21222",39.2457181,-76.5090984,473
107317,Aspen Nursery,15710 New Hampshire Ave,"Silver Spring, MD, 20905",Montgomery,SWP-Natural Wood Waste,2022/05/24,Rejected wastes are not disposed of as permit requires,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2916982,"15710 New Hampshire Ave, Silver Spring, MD, 20905",39.076572,-77.0018621,474
5973,Dreyer's Grand Ice Cream,9090 Whiskey Bottom Rd,"Laurel, MD, 20723",Howard,SWP-Hazardous Waste,2025/10/21,Lamps containers not labeled to determine the length of time.,Returned to Compliance,2025/10/10,,"9090 Whiskey Bottom Rd, Laurel, MD, 20723",39.1153388,-76.8277991,475
91964,Zodiac of North America,540 Thompson Creek Rd,"Stevensville, MD, 21666",Queen Anne's,SWP-Hazardous Waste,2024/02/22,Hazardous waste containers are not closed [COMAR 26.13.05.09D]\line\line,Returned to Compliance,2024/02/16,,"540 Thompson Creek Rd, Stevensville, MD, 21666",38.9703891,-76.3105929,476
139943,Richard Jones Farm,641 Critcher Rd,"Pocomoke City, MD, 21851",Worcester,SWP-Scrap Tire,2024/08/20,Approximately 125 scrap tires on-site,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3200060,"641 Critcher Rd, Pocomoke City, MD, 21851",,,477
1790,FORT DETRICK USAG AREA B,"INTERSECTION OF SHOOKSTOWN RD, AND MONTEVUE LANE","Fort Detrick, MD, 21702-5000",Frederick,SWP-Hazardous Waste,2024/09/10,"Facility has no ""No Smoking"" sign conspicuously displayed where there is hazard for ignitable or reactive wastes  [COMAR 26.13.05.03G]\line\line",Returned to Compliance,2024/09/05,,"INTERSECTION OF SHOOKSTOWN RD, AND MONTEVUE LANE, Fort Detrick, MD, 21702-5000",,,478
29763,Newland Park Municipal Landfill,6948 Brick Kiln Rd,"Salisbury, MD, 21801",Wicomico,SWP-Refuse Disposal,2023/07/05,Leachate outbreaks are not prevented,Returned to Compliance,2023/08/31,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3041586,"6948 Brick Kiln Rd, Salisbury, MD, 21801",,,479
180425,Casey Estate Property,1612 & 1614 Dudley Corner Rd,"Millington, MD, 21651",Queen Anne's,SWP-Refuse Disposal,2024/01/16,1000 scrap tires,Returned to Compliance,2024/03/05,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3093930,"1612 & 1614 Dudley Corner Rd, Millington, MD, 21651",,,480
98664,"Mar Del Auto Wholesalers, Inc.",1829 Jacob Tome Highway,"Port Deposit, MD, 21904",Cecil,SWP-Scrap Tire,2022/02/23,No ST License,Returned to Compliance,2024/07/02,,"1829 Jacob Tome Highway, Port Deposit, MD, 21904",39.65376,-76.0747116,481
29224,Lockheed Martin,21530 Pacific Drive,"Lexington Park, MD, 20653",St. Mary's,SWP-Hazardous Waste,2025/01/10,"Containers are not labeled or marked clearly with words ""Hazardous Waste"" [COMAR 26.13.03.05E(2)]\line\line",Returned to Compliance,2025/03/12,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3269365,"21530 Pacific Drive, Lexington Park, MD, 20653",38.258807,-76.4722533,482
723,Food and Drug Administration,"10903 New Hampshire Ave, WO62, Rm G103)","Silver Spring, MD, 20903",Montgomery,SWP-Hazardous Waste,2025/03/31,Biennial report not submitted by applicable deadline [COMAR 26.13.03.06B(1)(b)]\line\line,Returned to Compliance,2025/03/07,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3324867,"10903 New Hampshire Ave, WO62, Rm G103), Silver Spring, MD, 20903",,,483
171706,P&J Trucking LLC @ Belair Rd,1940 Belair Rd,"Baltimore, MD, 21213",Baltimore City,SWP-Refuse Disposal,2024/07/27,Unpermitted PF,Returned to Compliance,2025/08/15,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3211042,"1940 Belair Rd, Baltimore, MD, 21213",39.3135314,-76.5833946,484
68188,Boehm / Crownsville,1373 St. Stephens Church Rd,"Crownsville, MD, 21032-2205",Anne Arundel,SWP-Natural Wood Waste,2025/09/05,"Wood chips dumped for unauthorized grading.
Piles of demolition brick remain.
Piled NWW logs remain.
Ravines filled with CABB are not approved by the County.
Open dumping of non-recyclable refuse.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3353297,"1373 St. Stephens Church Rd, Crownsville, MD, 21032-2205",,,485
5973,Dreyer's Grand Ice Cream,9090 Whiskey Bottom Rd,"Laurel, MD, 20723",Howard,SWP-Hazardous Waste,2025/10/21,Batteries on site longer than one year,Returned to Compliance,2025/10/10,,"9090 Whiskey Bottom Rd, Laurel, MD, 20723",39.1153388,-76.8277991,486
620,MRIGlobal-NCR,65 W Watkins Mill Rd,"Gaithersburg, MD, 20878",Montgomery,SWP-Hazardous Waste,2025/07/18,Was not able to demonstrate length of time for UW,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3350615,"65 W Watkins Mill Rd, Gaithersburg, MD, 20878",39.1516133,-77.2339094,487
80268,"Sharp Lawn & Tree, Inc",25266 Mary Morris Rd,"Chestertown, MD, 21620",Kent,SWP-Natural Wood Waste,2023/07/03,Inadequate fire lane between piles (processed and unprocessed) and tree line. See site complaint SC-O-24-NW-020,Returned to Compliance,2023/08/11,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3041526,"25266 Mary Morris Rd, Chestertown, MD, 21620",,,488
13670,Quarantine Road Municipal Landfill,6100 Quarantine Rd,"Curtis Bay, MD, 21226",Baltimore City,SWP-Refuse Disposal,2022/03/02,Leachate outbreaks are not controlled.,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2881321,"6100 Quarantine Rd, Curtis Bay, MD, 21226",,,489
31830,Estes Express Lines,201 Chesapeake Blvd,"Elkton, MD, 21921",Cecil,SWP-Hazardous Waste,2023/08/02,Universal waste did not have accumulation date.,Returned to Compliance,2023/09/26,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3065761,"201 Chesapeake Blvd, Elkton, MD, 21921",39.597499,-75.787753,490
151191,World Recycling Company,2740 Wilmarco Avenue,"Baltimore, MD, 21223",Baltimore City,SWP-Refuse Disposal,2022/07/24,Vectors are not prevented or controlled,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2940960,"2740 Wilmarco Avenue, Baltimore, MD, 21223",39.2732517,-76.6592961,491
11264,Target Store 1001,5230 Campbell Blvd,"Nottingham, MD, 21236",Baltimore,SWP-Hazardous Waste,2021/09/10,UW container not labeled.,Returned to Compliance,2021/09/08,,"5230 Campbell Blvd, Nottingham, MD, 21236",39.3709219,-76.4513775,492
439,"Curtis Bay Energy, LP",3200 Hawkins Point Rd,"Baltimore, MD, 21226",Baltimore City,SWP-Refuse Disposal,2023/10/10,Production floor basement contained standing water and mixed waste below incoming waste hopper. Site Complaint SC-O-24-SW-026 to be issued,Returned to Compliance,2024/01/18,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3068257,"3200 Hawkins Point Rd, Baltimore, MD, 21226",39.202803,-76.5559966,493
79799,"Ecology Services, Inc",3520 Fairfield Rd,"Baltimore, MD, 21230",Baltimore,SWP-Hazardous Waste,2022/10/13,Universal waste stored longer than one year.,Returned to Compliance,2022/09/02,,"3520 Fairfield Rd, Baltimore, MD, 21230",39.2334969,-76.5763837,494
147840,Charlotte Hall Natural Wood Waste Recycling Facility,37308 Carpenter Ln,"Charlotte Hall, MD, 20622",St. Mary's,SWP-Natural Wood Waste,2022/12/01,"No pile monitoring occurring, see open site complaint",Returned to Compliance,2025/02/20,,"37308 Carpenter Ln, Charlotte Hall, MD, 20622",,,495
11804,Target Central Returns Center T3881,16020 Leeland Rd,"Upper Marlboro, MD, 20774",Prince George's,SWP-Hazardous Waste,2024/03/05,Returned copies of manifest with facility signature and date not on file [COMAR 26.13.03.06A(1)]\line\line,Returned to Compliance,2024/02/27,,"16020 Leeland Rd, Upper Marlboro, MD, 20774",38.8621483,-76.7284933,496
19953,Mountainview Municipal Landfill,"13300 New Georges Creek Rd, SW","Frostburg, MD, 21532",Allegany,SWP-Refuse Disposal,2023/06/22,Intermediate cover does not cover wastes completely,Returned to Compliance,2023/08/24,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3030858,"13300 New Georges Creek Rd, SW, Frostburg, MD, 21532",,,497
79218,SHA Bridge 0327103,"MD 702 EBR over Northeast Creek, Northeast Creek","Middle River, MD, 21220",Baltimore,SWP-Hazardous Waste,2023/07/11,"Containers are not labeled or marked clearly with words ""Hazardous Waste"" [COMAR 26.13.03.05E(2)]\line\line",Returned to Compliance,2023/06/02,,"MD 702 EBR over Northeast Creek, Northeast Creek, Middle River, MD, 21220",,,498
180789,Baltimore City Alley Dump 500 Blk S Monroe and Eagle Streets,Baltimore City Alley Dump 500 Blk S Monroe and Eagle Streets,"Baltimore City, MD, 21223",Baltimore City,SWP-Scrap Tire,2024/02/14,100 scrap tires are stockpiled,Returned to Compliance,2024/05/24,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3106109,"Baltimore City Alley Dump 500 Blk S Monroe and Eagle Streets, Baltimore City, MD, 21223",,,499
7466,PENSKE TRUCK LEASING CO,7205 Montevideo Rd,"Jessup, MD, 20794",Howard,SWP-Hazardous Waste,2023/03/06,Universal waste no properly labeled.,Returned to Compliance,2023/06/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3065772,"7205 Montevideo Rd, Jessup, MD, 20794",39.1732906,-76.7744644,500
8216,Roberto's Repairs,8431 Ocean Gateway,"Easton, MD, 21601",Talbot,SWP-Scrap Tire,2021/07/19,No ST License,Returned to Compliance,2021/10/14,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2787689,"8431 Ocean Gateway, Easton, MD, 21601",38.7783842,-76.060391,501
82166,"J/C Demolition and Salvage, Inc",7037 Johnson's Place,"Indian Head, MD, 20640",Charles,SWP-Refuse Disposal,2023/04/17,"The easternmost ~10,000SF area behind Mr. Cobey's gate has visible fill material with scrap tires and C&D waste commingled, at least on the surface, with a fill depth of about 6ft.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3017533,"7037 Johnson's Place, Indian Head, MD, 20640",,,502
457,Community College of Baltimore County - Essex Campus,7201 Rossville Blvd,"Rosedale, MD, 21237",Baltimore,SWP-Hazardous Waste,2022/11/09,"Satellite accumulation containers are not marked ""Hazardous Waste"" or name of content [COMAR 26.13.03.05E(3)(b)]\line\line",Returned to Compliance,2022/11/03,,"7201 Rossville Blvd, Rosedale, MD, 21237",39.3540445,-76.4815709,503
114986,Denton Auto Care & Tire,1109 Industrial Pkwy,"Denton, MD, 21629",Caroline,SWP-Scrap Tire,2024/08/22,operating without a collection license,Returned to Compliance,2024/11/19,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3200305,"1109 Industrial Pkwy, Denton, MD, 21629",,,504
184871,Luke Collins Property,9808 Riverton Rd,"Mardela Springs, MD, 21837",Wicomico,SWP-Scrap Tire,2024/12/13,Approximate 50 scrap tires in a illegal dump,Returned to Compliance,2025/04/15,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3247103,"9808 Riverton Rd, Mardela Springs, MD, 21837",,,505
13670,Quarantine Road Municipal Landfill,6100 Quarantine Rd,"Curtis Bay, MD, 21226",Baltimore City,SWP-Refuse Disposal,2022/08/18,Leachate outbreaks are not controlled,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2942276,"6100 Quarantine Rd, Curtis Bay, MD, 21226",,,506
4559,U Haul Company,2421 Chillum Rd,"Chillum, MD, 20782",Prince George's,SWP-Scrap Tire,2022/01/18,No ST License,Returned to Compliance,2024/04/15,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3030430,"2421 Chillum Rd, Chillum, MD, 20782",38.981663,-76.9676887,507
63594,Tolson & Associates LLC,1451 Capitol Raceway Rd,"Crofton, MD, 21114",Anne Arundel,SWP-Composting,2023/07/14,"25ft of clearance is not present around the outside of the active and curing windrow area, or the feedstock pile.",Returned to Compliance,2023/08/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3053770,"1451 Capitol Raceway Rd, Crofton, MD, 21114",39.0256897,-76.6925933,508
103050,Bay Town Painting Inc.,137 Stahl Point Rd,"Curtis Bay, MD, 21226",Anne Arundel,SWP-Hazardous Waste,2023/03/14,Generator had no employees' training record on file (current until facility closure and former for 3 years) [COMAR 26.13.05.02G(5)]\line\line,Returned to Compliance,2023/05/17,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3030415,"137 Stahl Point Rd, Curtis Bay, MD, 21226",,,509
1779,National Security Agency,7705 Samford Rd,"Fort George G. Meade, MD, 20755",Anne Arundel,SWP-Hazardous Waste,2024/11/21,Light bulbs on site longer than 1 year,"Ongoing, Referred to Enforcement",2024/11/14,,"7705 Samford Rd, Fort George G. Meade, MD, 20755",,,510
13670,Quarantine Road Municipal Landfill,6100 Quarantine Rd,"Curtis Bay, MD, 21226",Baltimore City,SWP-Refuse Disposal,2021/07/06,Blown Litter,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2786739,"6100 Quarantine Rd, Curtis Bay, MD, 21226",,,511
168668,ACS Properties LLC,3304 - 3408 Hawkins Point Rd (7 parcels - map 25 grid 00 parcel 00),"Curtis Bay, MD, 21226",Baltimore City,SWP-Refuse Disposal,2022/09/06,Scrap Tire Open Dump,Returned to Compliance,2024/05/14,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2943170,"3304 - 3408 Hawkins Point Rd (7 parcels - map 25 grid 00 parcel 00), Curtis Bay, MD, 21226",,,512
66649,Mid- Atlantic Organic Resource Company - Twin Maples Composting Facility,14130 Clarks Ln,"Ridgely, MD, 21660",Caroline,SWP-Composting,2023/06/14,"Runoff observed from various areas of the compost operation (curing area, storage area, screenings from compost in bulking agent stockpile area) into perimeter on-site swales.",Returned to Compliance,2023/06/30,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3030410,"14130 Clarks Ln, Ridgely, MD, 21660",,,513
147183,"Vac Pac, Inc",917 Middle River Rd,"Middle River, MD, 21220",Baltimore,SWP-Hazardous Waste,2024/11/21,There is no adequate containment system in place [COMAR 26.13.05.09H]\line\line,Returned to Compliance,2024/11/12,,"917 Middle River Rd, Middle River, MD, 21220",39.3501582,-76.4502545,514
592,Mount Washington Pediatric Hospital,1708 W Rogers Ave,"Mount Washington, MD, 21209",Baltimore City,SWP-Hazardous Waste,2025/08/26,Hazardous waste containers are not inspected at least weekly [COMAR 26.13.03.03-6F(1)],"Ongoing, Referred to Enforcement",2025/08/14,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3352641,"1708 W Rogers Ave, Mount Washington, MD, 21209",39.3630752,-76.6528233,515
173804,NNECHUKS Limited Liability,4670 Addison Rd,"Capitol Heights, MD, 20743",Prince George's,SWP-Scrap Tire,2022/01/18,ST Open Dump,Returned to Compliance,2024/02/05,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2858095,"4670 Addison Rd, Capitol Heights, MD, 20743",38.8705089,-76.894135,516
